shot_distance,shot_attempted_flag,shot_made_flag,accuracy,shot_type
0,16134,12260,0.76,2s
1,19708,14460,0.73,2s
2,17635,10759,0.61,2s
3,11506,5819,0.51,2s
4,7665,3418,0.45,2s
5,6589,2785,0.42,2s
6,5632,2409,0.43,2s
7,5045,2181,0.43,2s
8,4229,1885,0.45,2s
9,4086,1817,0.44,2s
10,4127,1860,0.45,2s
11,4006,1820,0.45,2s
12,3686,1632,0.44,2s
13,3173,1416,0.45,2s
14,2961,1300,0.44,2s
15,3075,1368,0.44,2s
16,3027,1341,0.44,2s
17,2836,1173,0.41,2s
18,2379,1024,0.43,2s
19,2078,853,0.41,2s
20,1624,637,0.39,2s
21,1084,401,0.37,2s or 3s
22,6768,2547,0.38,2s or 3s
23,12357,4839,0.39,2s or 3s
24,10957,4061,0.37,3s
25,23257,8416,0.36,3s
26,17700,6339,0.36,3s
27,7544,2568,0.34,3s
28,3074,1009,0.33,3s
29,1268,421,0.33,3s
30,652,206,0.32,3s
31,325,91,0.28,3s
32,184,54,0.29,3s
33,105,22,0.21,3s
34,73,18,0.25,3s
35,46,14,0.3,3s
36,41,7,0.17,3s
37,33,5,0.15,3s
38,24,2,0.08,3s
39,19,0,0,3s
40,26,4,0.15,3s
41,35,3,0.09,3s
42,25,3,0.12,3s
43,28,3,0.11,3s
44,25,1,0.04,3s
45,19,2,0.11,3s
46,18,1,0.06,3s
47,27,0,0,3s
48,24,1,0.04,3s
49,22,0,0,3s
50,24,1,0.04,3s
51,22,0,0,3s
52,20,1,0.05,3s
53,16,1,0.06,3s
54,19,0,0,3s
55,16,0,0,3s
56,19,0,0,3s
57,9,0,0,3s
58,14,0,0,3s
59,9,0,0,3s
60,7,1,0.14,3s
61,7,0,0,3s
62,3,0,0,3s
63,3,0,0,3s
64,10,0,0,3s
65,8,0,0,3s
66,7,0,0,3s
67,5,0,0,3s
68,7,0,0,3s
69,3,0,0,3s
70,7,0,0,3s
71,3,0,0,3s
73,3,0,0,3s
74,3,0,0,3s
76,2,0,0,3s
77,3,0,0,3s
78,3,0,0,3s
79,3,1,0.33,3s
80,2,0,0,3s
81,1,0,0,3s
82,1,0,0,3s
